id,code,claim,evidence_date,checked_on,source_url
R13,600399.SH,抚顺特钢2025年报披露实控人为沈彬，移出辽宁国资控制样本,2025-12-31,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12038296&stockid=600399
R14,000538.SZ,云南白药2025年报披露无控股股东、无实际控制人，国有第一大股东不等于控制,2025-12-31,2026-09-17,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-01/65b48afd-34bb-4386-a93a-7deec8b1408b.PDF
R15,600988.SH,赤峰黄金2026-03交易披露此前为李金阳控制、拟由紫金收购；不支持内蒙古地方国资归类，后续交割待查,2026-03-24,2026-09-17,https://paper.cnstock.com/html/2026-03/24/content_2191483.htm
R16,000625.SZ,2025年兵装汽车业务分立，长安汽车间接控股股东变为中国长安汽车集团,2025-12-31,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12078507&stockid=000625
R17,002268.SZ,卫士通自2023-01-11更名电科网安，代码不变,2023-01-11,2026-09-17,https://www.cetc.com.cn/zgdk/1592571/jygl/1758709/index.html
R18,688151.SH,华强科技主业为特种防护、医药包装及医疗器械，不是军用特种电源,2025-12-31,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12173277&stockid=688151
R19,600259.SH,原广晟有色实控人为中国稀土集团，移出广东地方国资样本,2025-06-30,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11418687&stockid=600259
R20,300046.SZ,台基股份控制变更于2025-12-23完成，原2025-06是筹划阶段,2025-12-23,2026-09-17,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-16/30752206-a48e-4b88-bd91-f6bf028b7c4d.PDF
R21,002783.SZ,凯龙股份实际控制人变更日期为2025-04-25，非2025-01,2025-12-31,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12196566&stockid=002783
R22,601500.SH,通用股份2025-06-17完成苏豪受让股权过户，原案例方向成立,2025-06-17,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11185577&stockid=601500
R23,002559.SZ,亚威股份2026年定增上市公告确认扬州产发控股；原2025-01完成时间错误,2026-07,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12438405&stockid=002559
R24,603336.SH,宏辉果蔬年报披露叶桃、刘扬、苏州资产投资管理集团共同实控，不能简化为苏州国资单独控制,2025-12-31,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12157718&stockid=603336
R25,002484.SZ,江海股份过户日期为2025-01-10；浙江经投成为控股股东,2025-01-10,2026-09-17,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10706210&stockid=002484
R26,300897.SZ,山科智能2025年报明确无控股股东和实际控制人；不能沿用2025-07武汉国资已入主,2025-12-31,2026-09-17,https://static.cninfo.com.cn/finalpage/2026-04-24/1225159320.PDF
R27,300185.SZ,通裕重工2025-08-28完成国惠受让股份过户，不是2026年首次入主；此前已为珠海国资,2025-08-28,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12307348&stockid=300185
R28,688825.SH,长鑫科技2026-07-27科创板上市，代码688825,2026-07-27,2026-09-17,https://www.sse.com.cn/disclosure/announcement/listing/ipo/c/c_20260724_10826610.shtml
R29,688825.SH,长鑫科技上市公告披露无控股股东、无实际控制人，国资持股不能简单相加认定控制,2026-07-24,2026-09-17,https://static.cninfo.com.cn/finalpage/2026-07-24/1225439534.PDF
R30,688249.SH,晶合集成2023-05-05上市，原2022年错误,2023-05-05,2026-09-17,https://www.sse.com.cn/disclosure/announcement/listing/ipo/c/c_20230504_89473619.shtml
R31,—,数据资源会计规定自2024-01-01施行，不是2025年；不符合确认条件不能入表,2023-08-21,2026-09-17,https://m.mof.gov.cn/zcjd/202308/t20230821_3903359.htm
R32,—,碳配额市场与自愿减排市场分开；2025配额行业扩围不能推出森林普遍可售碳汇,2026-01-01,2026-09-17,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/202601/t20260101_1139528.shtml
R33,—,造林碳汇须符合方法学并完成相应审定、核查及登记，不是持有林地就可交易,2023-10-24,2026-09-17,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/202310/t20231024_1043877.html
R34,—,吴清讲话支持五地实践样本；不等于五地所有IPO保证快速获批，也未公布合肥落选原因,2026-06-17,2026-09-17,https://www.csrc.gov.cn/csrc/c106311/c7639684/content.shtml
R35,180202.SZ,华夏越秀高速REIT原始权益人为越秀中国，不应写湖南国资；REIT是基金不是A股公司,2021-12-20,2026-09-17,https://www.cs.ecitic.com/newsite/news/202112/t20211220_1160049.html
R36,180201.SZ,平安广交投广河高速REIT代码180201，运营和原始权益人关系以基金报告为准,2025-12-31,2026-09-17,https://fund.pingan.com/nasfile/1774618047469.pdf
R37,002059.SZ,云南旅游属华侨城集团控制体系，不是云南省地方国资平台,2025-12-31,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12043752&stockid=002059
R38,000998.SZ,隆平高科年报控股股东为中信农业，不能按注册地写湖南地方国资,2025-12-31,2026-09-17,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122138.PDF
R39,000762.SZ,西藏矿业属中国宝武控制体系，矿产所在地不是股权归属,2025-12-31,2026-09-17,https://static.cninfo.com.cn/finalpage/2026-04-10/1225088270.PDF
R40,601169.SH,北京银行2025半年报无控股股东及实际控制人，保留参股观察而非控制分类,2025-06-30,2026-09-17,https://static.cninfo.com.cn/finalpage/2025-08-30/1224627748.PDF
R41,601229.SH,上海银行2025年报无控股股东、无实际控制人,2025-12-31,2026-09-17,https://stockmc.xueqiu.com/202604/601229_20260424_01H9.pdf
R42,601825.SH,沪农商行2025半年报无控股股东和实际控制人,2025-06-30,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11423054&stockid=601825
R43,601601.SH,中国太保2025半年报无控股股东、无实际控制人,2025-06-30,2026-09-17,https://stock.stockstar.com/notice/SN2025083000002849.shtml
R44,600259.SH,2026半年报证券简称为中稀有色，原广晟有色，代码不变,2026-06-30,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12535708&stockid=600259
R45,000002.SZ,万科2026半年报无控股股东及实际控制人；深铁占总股本27.18%，不是占A股股本比例,2026-06-30,2026-09-17,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12562729&stockid=000002
R46,600178.SH,东安动力2025年报确认间接控股股东变为中国长安汽车集团，移出兵器装备分组,2025-12-31,2026-09-17,https://file.finance.sina.com.cn/211.154.219.97%3A9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-14/12084888.PDF
R47,600698.SH,湖南天雁2025年报确认中国长安汽车集团通过辰致集团控制，移出兵器装备分组,2025-12-31,2026-09-17,https://static.cninfo.com.cn/finalpage/2026-04-25/1225180586.PDF
R48,000151.SZ,中成股份2026半年报确认受通用技术集团最终控制，保留该归属；不沿用历史国投归属,2026-06-30,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12547756&stockid=000151
